Name;Description;Unit;Default;Minimum;Maximum
H51_STK_s_CellVolt_037_2005;;mV;;0;1500
H51_STK_s_CellVolt_038_2005;;mV;;0;1500
H51_STK_s_CellVolt_039_2005;;mV;;0;1500
H51_STK_s_CellVolt_040_2005;;mV;;0;1500
H51_STK_s_CellVolt_041_2005;;mV;;0;1500
H51_STK_s_CellVolt_042_2005;;mV;;0;1500
H51_STK_s_CellVolt_043_2005;;mV;;0;1500
H51_STK_s_CellVolt_044_2005;;mV;;0;1500
H51_STK_s_CellVolt_045_2005;;mV;;0;1500
H51_STK_s_CellVolt_046_2005;;mV;;0;1500
H51_STK_s_CellVolt_047_2005;;mV;;0;1500
H51_STK_s_CellVolt_048_2005;;mV;;0;1500
H51_STK_s_CellVolt_049_2005;;mV;;0;1500
H51_STK_s_CellVolt_050_2005;;mV;;0;1500
H51_STK_s_CellVolt_051_2005;;mV;;0;1500
H51_STK_s_CellVolt_052_2005;;mV;;0;1500
H51_STK_s_CellVolt_053_2005;;mV;;0;1500
H51_STK_s_CellVolt_054_2005;;mV;;0;1500
H51_STK_s_CellVolt_055_2005;;mV;;0;1500
H51_STK_s_CellVolt_056_2005;;mV;;0;1500
H51_STK_s_CellVolt_057_2005;;mV;;0;1500
H51_STK_s_CellVolt_058_2005;;mV;;0;1500
H51_STK_s_CellVolt_059_2005;;mV;;0;1500
H51_STK_s_CellVolt_060_2005;;mV;;0;1500
H51_STK_s_CellVolt_061_2005;;mV;;0;1500
H51_STK_s_CellVolt_062_2005;;mV;;0;1500
H51_STK_s_CellVolt_063_2005;;mV;;0;1500
H51_STK_s_CellVolt_064_2005;;mV;;0;1500
H51_STK_s_CellVolt_065_2005;;mV;;0;1500
H51_STK_s_CellVolt_066_2005;;mV;;0;1500
H51_STK_s_CellVolt_067_2005;;mV;;0;1500
H51_STK_s_CellVolt_068_2005;;mV;;0;1500
H51_STK_s_CellVolt_069_2005;;mV;;0;1500
H51_STK_s_CellVolt_070_2005;;mV;;0;1500
H51_STK_s_CellVolt_071_2005;;mV;;0;1500
H51_STK_s_CellVolt_2ndlow_2003;;mV;;0;1500
H51_STK_s_CellVolt_follow_2ndlow;;mV;;0;1200
H51_STK_s_CellVolt_follow_lowest;;mV;;0;1200
H51_STK_s_CellVolt_highest_2003;;mV;;0;1500
H51_STK_s_CellVolt_lowest_2003;;mV;;0;1200
H51_STK_s_CellVolt_prev_2ndlow;;mV;;0;1200
H51_STK_s_CellVolt_prev_lowest;;mV;;0;1500
H51_STK_s_CellVoltage_ui16H_2004;;mV;;0;255
H51_STK_s_CellVoltage_ui16L_2004;;mV;;0;65535
H51_STK_s_ModulHighestTemp_2003;;;;-128;127
H51_STK_s_ModulNr_HighestTemp;;;;0;255
H51_STK_s_TotalVoltage_2003;;mV;;0;600000
H55_SI_s_Stack_Inlet_Pressure;;kPa;;0;400
H62_HLD_s_1_H2_Concentration;;ppm;;-5000;123000
