Name;Description;Unit;Default;Minimum;Maximum;HV & Software;Basis Funktionen;Power Management;Startup;Operation low;Operation high;BZ Shutdown;Alarm
LV_en_p_tc_clpmpspd_idx1;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_tc_clpmpspd_idx2;;;;0;1;x;x;x;x;x;x;x;x
LV_en_P_TC_GHU_maxlowpress;;;;0;1;x;x;x;x;x;x;x;x
LV_en_P_TC_GHU_maxmidpress;;;;0;1;x;x;x;x;x;x;x;x
LV_en_P_TC_OTV_maxtankpress;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_wtlc_soc_lvl_perc;;;;0;1;x;x;x;x;x;x;x;x
LV_en_p_wtlc_soc_time2off_sec;;;;0;1;x;x;x;x;x;x;x;x
LV_Enable_FC_Operational;;;;0;1;x;x;x;x;x;x;x;x
LV_Enable_FC_Startup;;;;0;1;x;x;x;x;x;x;x;x
LV_P_CLDN_AMBlimit_Temp;;°C;;-40;215;x;x;x;x;x;x;x;x
LV_P_CLDN_AMBlimitOff_Temp;;°C;;-40;215;x;x;x;x;x;x;x;x
LV_P_CLDN_CP_Spd;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_CLDN_RF_Spd;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_CLDN_RF_Time;;s;;0;6553.5;x;x;x;x;x;x;x;x
LV_P_CLDN_SOClimit;;%;;0;100;x;x;x;x;x;x;x;x
LV_P_CLDN_time2off;;s;;0;6553.5;x;x;x;x;x;x;x;x
LV_P_CVM_Diff_MaxMin_Lim;;V;;0;4.095;x;x;x;x;x;x;x;x
LV_P_CVM_Frequency;;Hz;;0;255;x;x;x;x;x;x;x;x
LV_P_CVM_Low_Lim2;;V;;0;4.095;x;x;x;x;x;x;x;x
LV_P_CVM_Temperature;;°C;;0;255;x;x;x;x;x;x;x;x
LV_P_CVM_Up_Lim1;;V;;0;4.095;x;x;x;x;x;x;x;x
LV_P_CVM_Up_Lim2;;V;;0;4.095;x;x;x;x;x;x;x;x
LV_P_FCA_ETC_Preset_Gradient;;rpm/s;;0;65535;x;x;x;x;x;x;x;x
LV_P_FCA_Press_D_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_FCA_Press_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_FCA_Press_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_FCA_Speed_D_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_FCA_Speed_I_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_FCA_Speed_P_Ctrl;;;;0;4.294.967.295;x;x;x;x;x;x;x;x
LV_P_FCDU_STK_Curr_Ramp_Time;;s;;0;255;x;x;x;x;x;x;x;x
LV_P_FCSD_dv_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSD_dv_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSD_dv_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSD_ETC_InitRng_Spd;;rpm;;0;16777215;x;x;x;x;x;x;x;x
LV_P_FCSD_H2end_Press;;kPa;;0;400;x;x;x;x;x;x;x;x
LV_P_FCSD_HRBstp_Spd;;rpm;;0;25000;x;x;x;x;x;x;x;x
LV_P_FCSD_pv_IncrClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSD_pv_IniOpnTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSD_pv_StrtClsTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSU_BPV_OpnCls_Time;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSU_DCDC_CurrRampGrad;;A/s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSU_DCDC_MaxWrmUp_Curr;;A;;0;6553.5;x;x;x;x;x;x;x;x
LV_P_FCSU_DCDC_OpTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSU_DCDC_PreOpTime;;s;;0;25.5;x;x;x;x;x;x;x;x
LV_P_FCSU_ETC_InitSpd;;rpm;;0;1048575;x;x;x;x;x;x;x;x
LV_P_FCSU_GHU_StrtPress1;;kPa;;0;2500;x;x;x;x;x;x;x;x
LV_P_FCSU_GHU_StrtPress2;;kPa;;0;255;x;x;x;x;x;x;x;x
LV_P_FCSU_H2_InitPress;;kPa;;0;255;x;x;x;x;x;x;x;x
